24#20130901002714
V1,V2,V3,A1,A2,A3,ActivePower,ReactivePower,Frequency,GRSpd,RotorRSpd,OnesecWsp,OnesecWdir,angle1,angle2,angle3,pitSet,ConvTorque,TorqueSet,DIO
392,392,391,45,45,53,49,0,5000,1038,102,36,353,0,0,5,0,542,678,14847
392,392,391,44,45,52,49,0,5000,1038,100,35,354,0,0,5,0,530,691,14847
392,392,391,44,45,52,49,0,5000,1041,100,35,354,0,0,5,0,555,697,14847
392,392,391,44,45,52,49,0,5000,1041,100,35,354,0,0,5,0,542,680,14847
392,392,391,44,44,52,49,-1,5000,1038,100,36,353,0,0,5,0,542,656,14847
392,392,391,43,43,51,49,-1,5000,1039,100,36,352,-1,0,5,0,517,667,14847
392,392,391,43,44,51,49,-1,5000,1042,100,36,350,-1,0,5,0,530,696,14847
392,393,391,43,44,51,49,-1,5000,1039,99,36,348,-1,0,5,0,530,668,14847
392,392,391,43,44,51,49,-1,5000,1039,99,36,347,-1,0,5,0,517,666,14847
392,393,391,43,43,51,46,-1,5000,1042,99,36,347,-1,0,5,0,517,689,14847
392,392,391,43,44,52,46,-1,5000,1043,99,36,348,-1,0,5,0,517,702,14847
392,393,391,44,43,52,46,-1,5000,1040,99,36,350,-2,0,5,0,530,682,14847
392,392,391,44,44,51,46,-1,5000,1040,100,36,353,-2,0,5,0,530,688,14847
392,392,390,44,44,52,46,-1,5000,1042,100,36,357,-2,0,5,0,542,697,14847
392,393,391,44,44,52,49,0,5000,1042,98,36,0,-2,0,5,0,542,709,14847
392,392,391,43,44,52,49,0,5000,1039,98,36,3,-2,0,5,0,542,691,14847
392,392,391,44,43,52,49,0,5000,1038,98,36,6,-2,0,5,0,542,703,14847
392,392,391,43,43,51,49,0,5000,1041,101,36,6,-2,0,5,0,542,719,14847
392,392,390,44,45,52,49,0,5000,1040,101,36,5,-2,0,5,0,555,692,14847
392,392,391,44,44,52,49,-1,5000,1038,100,36,3,-2,0,5,0,542,677,14847
392,392,390,44,44,52,49,-1,5000,1038,100,36,1,-2,0,5,0,542,683,14847
392,392,390,43,43,51,49,-1,5000,1040,99,36,359,-2,0,4,0,530,697,14847
392,392,390,44,44,51,49,-1,5000,1040,99,36,357,-2,0,4,0,530,685,14847
392,392,390,43,44,51,49,-1,5000,1038,99,36,356,-2,0,4,0,530,653,14847
392,392,390,42,43,50,46,-1,5000,1040,100,36,356,-2,0,4,0,517,672,14847
392,392,390,42,42,50,46,-1,5000,1040,100,36,356,-1,0,4,0,517,676,14847
392,392,390,42,42,50,46,-1,5000,1038,100,36,358,-1,0,4,0,517,661,14847
392,392,390,42,42,50,46,-1,5000,1038,101,36,0,-1,0,4,0,517,652,14847
392,392,390,41,42,50,46,-1,5000,1040,101,35,3,-1,0,3,0,517,659,14847
392,392,390,41,42,50,46,-1,5000,1041,99,35,6,0,0,3,0,517,668,14847
392,392,390,41,41,50,46,-1,5000,1038,99,35,8,0,0,3,0,517,641,14847
392,392,390,41,42,50,46,-1,5000,1038,99,34,8,0,0,3,0,517,654,14847
391,392,390,42,42,49,46,-1,5000,1042,100,34,8,0,0,3,0,517,679,14847
392,392,390,41,42,49,46,-1,5000,1041,100,34,7,0,0,3,0,517,657,14847
391,392,390,41,42,49,46,-2,5000,1038,98,33,5,0,0,3,0,517,640,14847
392,392,390,40,41,48,46,-2,5000,1038,98,33,4,0,0,3,0,492,648,14847
391,392,390,40,40,48,46,-2,5000,1040,98,33,3,0,0,3,0,505,679,14847
392,392,390,41,41,48,46,-2,5000,1038,99,33,2,0,0,3,0,505,658,14847
391,392,390,41,42,49,46,-2,5000,1038,99,32,2,0,0,3,0,517,648,14847
391,392,390,41,42,49,44,-2,5000,1040,98,32,2,0,0,3,0,517,659,14847
392,392,390,41,41,49,44,-2,5000,1040,98,32,3,0,0,3,0,517,662,14847
391,392,390,41,41,49,44,-2,5000,1038,99,32,4,0,0,3,0,517,651,14847
392,392,390,41,41,49,44,-2,5000,1038,100,32,4,0,0,3,0,517,649,14847
391,392,390,41,42,49,44,-2,5000,1040,100,32,4,0,0,3,0,517,652,14847
391,391,390,41,42,49,44,-2,5000,1040,99,32,4,0,0,3,0,505,651,14847
